XAX143,20,18,31
XAX1430,50,39,60
XAX1431,43,20,56
XAX1432,40,30,56
XAX1433,24,29,41
XAX1434,33,48,38
XAX1435,20,25,36
XAX1436,9,38,14
XAX1437,21,14,28
XAX1438,68,77,69
XAX1439,66,57,67
XAX144,44,26,68
XAX1440,68,170,110
XAX1441,33,12,34
XAX1442,37,50,61
XAX1443,26,18,42
XAX1444,17,34,19
XAX1445,14,18,16
XAX1446,52,44,85
XAX1447,58,39,73
XAX1448,32,37,57
XAX1449,28,29,40
XAX145,19,25,32
XAX1450,14,18,32
XAX1451,12,7,21
XAX1452,7,8,6
XAX1453,58,51,89
XAX1454,42,42,75
XAX1455,25,40,23
XAX1456,30,30,46
XAX1457,52,31,63
XAX1458,35,40,53
XAX1459,24,24,45
XAX146,20,19,24
XAX1460,35,28,63
XAX1461,81,52,103
XAX1462,10,7,10
XAX1463,26,17,38
XAX1464,11,7,7
XAX1465,36,26,54
XAX1466,15,7,24
XAX1467,7,6,13
XAX1468,19,9,20
XAX1469,15,14,37
XAX147,38,22,29
XAX1470,38,15,54
XAX1471,21,27,26
XAX1472,23,25,62
XAX1473,51,45,73
XAX1474,30,11,26
XAX1475,23,14,22
XAX1476,43,42,63
XAX1477,18,11,28
XAX1478,15,22,38
XAX1479,38,26,49
XAX148,31,28,52
XAX1480,15,11,24
XAX1481,11,14,14
XAX1482,10,5,12
XAX1483,44,9,54
XAX1485,91,111,110
XAX1486,34,24,38
XAX1487,34,0,28
XAX1488,31,9,30
XAX1489,7,9,5
XAX149,17,13,18
XAX1490,33,63,46
XAX1491,41,15,56
XAX1492,27,14,23
XAX1493,15,10,11
XAX1494,33,23,39
XAX1495,46,34,61
XAX1496,57,32,62
XAX1497,12,8,25
XAX1498,11,10,19
XAX1499,25,10,36
XAX15,40,11,68
XAX150,45,31,60
XAX1500,43,28,38
XAX1501,7,13,18
XAX1502,25,16,21
XAX1503,42,62,54
XAX1504,19,36,24
XAX1505,25,13,40
XAX1506,13,19,24
XAX1507,25,11,13
XAX1508,51,39,50
XAX1509,23,12,26
XAX151,44,43,74
XAX1510,46,40,47
XAX1511,10,17,6
XAX1512,28,27,31
XAX1513,9,13,10
XAX1514,42,38,56
XAX1515,34,34,60
XAX1516,27,23,32
XAX1517,5,17,9
XAX1518,16,9,18
XAX1519,27,6,41
XAX152,17,22,35
XAX1520,44,42,53
XAX1521,22,10,22
XAX1522,21,0,42
XAX1523,23,4,20
XAX1524,53,32,56
XAX1525,36,4,57
XAX1526,38,35,43
XAX1527,25,48,49
XAX1528,60,59,88
XAX1529,33,30,43
XAX153,13,9,22
XAX1530,10,11,15
XAX1531,13,39,23
XAX1532,25,33,34
XAX1533,47,35,64
XAX1534,58,36,74
XAX1535,65,45,70
XAX1536,39,45,44
XAX1537,21,19,20
XAX1538,50,30,70
XAX1539,43,24,65
XAX154,22,25,29
XAX1540,14,25,36
XAX1541,25,5,39
XAX1542,50,24,42
XAX1543,49,37,49
XAX1544,61,39,87
XAX1545,40,22,57
XAX1546,17,15,31
XAX1547,34,24,59
XAX1548,17,8,18
XAX1549,22,9,30
XAX155,15,14,14
XAX1550,9,10,14
XAX1551,15,30,37
XAX1552,31,25,21
XAX1553,18,30,31
XAX1554,30,15,35
XAX1555,21,25,33
XAX1556,12,24,20
XAX1557,28,19,35
XAX1558,11,1,17
XAX1559,26,55,19
XAX156,0,0,0
XAX1560,24,26,43
XAX1561,14,2,11
XAX1562,29,35,30
XAX1563,66,55,65
XAX1564,32,32,42
XAX1565,116,91,129
XAX1566,33,0,0
XAX1567,70,51,77
XAX1568,26,13,52
XAX1569,19,19,34
XAX157,52,30,69
XAX1570,40,26,79
XAX1571,21,21,43
XAX1572,125,104,124
XAX1573,48,38,58
XAX1574,47,11,31
XAX1575,65,0,12
XAX1576,15,10,19
XAX1577,33,23,49
XAX1578,18,30,13
XAX1579,10,9,4
XAX158,18,24,17
XAX1580,23,28,40
XAX1581,46,74,53
XAX1583,19,31,30
XAX1584,36,1,44
XAX1585,56,32,58
XAX1586,31,3,34
XAX1587,41,39,52
XAX1588,56,53,55
XAX1589,9,0,8
XAX159,40,37,37
XAX1590,20,35,12
